Received_Time_ms;Send_Time_ms;Delay_ms;Furnace_ID;Seq_Num;Payload_Bytes
1761895561945;1761920752000;-25190055;furnace2;738;52
1761895561937;1761920749000;-25187063;furnace2;728;52
1761895566695;1761920779000;-25212305;furnace2;748;50
1761895566802;1761920779000;-25212198;furnace2;749;54
1761895568857;1761920780000;-25211143;furnace2;754;54
1761895568857;1761920780000;-25211143;furnace2;753;50
1761895569703;1761920782000;-25212297;furnace2;758;50
1761895569833;1761920782000;-25212167;furnace2;759;54
1761895571353;1761920783000;-25211647;furnace2;763;50
1761895571353;1761920783000;-25211647;furnace2;764;54
1761895572733;1761920785000;-25212267;furnace2;768;50
1761895572837;1761920785000;-25212163;furnace2;769;54
1761895574227;1761920786000;-25211773;furnace2;773;50
1761895574354;1761920786000;-25211646;furnace2;774;54
1761895575741;1761920788000;-25212259;furnace2;778;50
1761895575870;1761920788000;-25212130;furnace2;779;54
1761895577261;1761920789000;-25211739;furnace2;783;50
1761895577386;1761920789000;-25211614;furnace2;784;54
1761895578777;1761920791000;-25212223;furnace2;788;50
1761895578914;1761920791000;-25212086;furnace2;789;54
1761895580285;1761920792000;-25211715;furnace2;793;50
1761895580421;1761920792000;-25211579;furnace2;794;54
1761895581787;1761920794000;-25212213;furnace2;798;50
1761895581922;1761920794000;-25212078;furnace2;799;54
1761895583292;1761920795000;-25211708;furnace2;803;50
1761895583423;1761920795000;-25211577;furnace2;804;54
1761895584798;1761920797000;-25212202;furnace2;808;50
1761895584929;1761920797000;-25212071;furnace2;809;54
1761895586357;1761920798000;-25211643;furnace2;813;50
1761895586484;1761920798000;-25211516;furnace2;814;54
1761895588092;1761920800000;-25211908;furnace2;818;50
1761895588226;1761920800000;-25211774;furnace2;819;54
1761895589488;1761920801000;-25211512;furnace2;823;50
1761895589492;1761920801000;-25211508;furnace2;824;54
1761895591224;1761920803000;-25211776;furnace2;828;50
1761895591225;1761920803000;-25211775;furnace2;829;54
1761895592393;1761920804000;-25211607;furnace2;833;50
1761895592556;1761920804000;-25211444;furnace2;834;54
1761895593912;1761920806000;-25212088;furnace2;838;50
1761895594045;1761920806000;-25211955;furnace2;839;54
1761895595422;1761920807000;-25211578;furnace2;843;50
1761895595559;1761920807000;-25211441;furnace2;844;54
1761895596924;1761920809000;-25212076;furnace2;848;50
1761895597057;1761920809000;-25211943;furnace2;849;54
1761895598433;1761920810000;-25211567;furnace2;853;50
1761895598565;1761920810000;-25211435;furnace2;854;54
1761895599949;1761920812000;-25212051;furnace2;858;50
1761895600080;1761920812000;-25211920;furnace2;859;54
1761895601475;1761920813000;-25211525;furnace2;863;50
1761895601596;1761920813000;-25211404;furnace2;864;54
1761895602976;1761920815000;-25212024;furnace2;868;50
1761895603106;1761920815000;-25211894;furnace2;869;54
